Rank Team                            W-L-T    Rating
  1  Oregon                          12-1-0  77.8377
  2  Stanford                        12-1-0  75.2549
  3  Boise St                        12-1-0  73.5641
  4  Alabama                         10-3-0  69.8972
  5  TCU                             13-0-0  69.4256
  6  Auburn                          14-0-0  68.4233
  7  Ohio State                      12-1-0  67.0735
  8  Oklahoma                        12-2-0  64.8224
  9  Oklahoma St                     11-2-0  63.7278
 10  Wisconsin                       11-2-0  62.5189
 11  Arkansas                        10-3-0  61.8957
 12  LSU                             11-2-0  60.5849
 13  Florida St                      10-4-0  60.0159
 14  Virginia Tech                   11-3-0  59.8799
 15  Missouri                        10-3-0  59.7551
 16  Arizona St                      6-6-0   59.3316
 17  South Carolina                  9-5-0    59.253
 18  Nebraska                        10-4-0  59.1252
 19  Texas A&M                       9-4-0   58.6156
 20  Nevada                          13-1-0  58.3099
 21  Florida                         8-5-0    58.032
 22  Southern Cal                    8-5-0   57.9645
 23  Arizona                         7-6-0   57.7716
 24  Oregon St                       5-7-0   56.6055
 25  California                      5-7-0   56.2924
 26  Utah                            10-3-0  55.8702
 27  Iowa                            8-5-0   55.6911
 28  Georgia                         6-7-0   55.3544
 29  Notre Dame                      8-5-0   55.0361
 30  Mississippi St                  9-4-0   54.9973
 31  North Carolina St               9-4-0   54.7515
 32  West Virginia                   9-4-0   53.9333
 33  Illinois                        7-6-0   53.1766
 34  Miami FL                        7-6-0   52.7787
 35  Pittsburgh                      8-5-0     52.52
 36  Hawai`i                         10-4-0  51.4944
 37  Michigan St                     11-2-0  51.2822
 38  Maryland                        9-4-0   51.0119
 39  Clemson                         6-7-0   50.1769
 40  Northern Illinois               11-3-0  49.6597
 41  San Diego St                    9-4-0   49.5647
 42  Air Force                       9-4-0   49.4263
 43  Washington                      7-6-0   48.8507
 44  Central Florida                 11-3-0  48.7446
 45  North Carolina                  8-5-0   48.6433
 46  Tennessee                       6-7-0   48.5766
 47  Kansas St                       7-6-0   48.4082
 48  Louisville                      7-6-0   47.5761
 49  Penn State                      7-6-0   46.8512
 50  Brigham Young                   7-6-0   46.6463
 51  Tulsa                           10-3-0  46.5576
 52  Texas Tech                      8-5-0   46.5317
 53  Texas                           5-7-0   46.1906
 54  Navy                            9-4-0   45.9834
 55  Baylor                          7-6-0   45.7621
 56  South Florida                   8-5-0   45.4778
