Rank Team                            W-L-T    Rating
  1  Alabama                         9-1-0   82.7708
  2  Mississippi                     8-2-0   80.2821
  3  Georgia                         8-2-0   80.1328
  4  Baylor                          8-1-0   79.5215
  5  Auburn                          7-3-0   77.8148
  6  TCU                             9-1-0   77.7424
  7  Oregon                          9-1-0   76.2214
  8  Ohio State                      9-1-0   75.2417
  9  Mississippi St                  9-1-0    74.353
 10  Oklahoma                        7-3-0    74.189
 11  Wisconsin                       8-2-0    73.646
 12  LSU                             7-4-0   73.2266
 13  Michigan St                     8-2-0   73.1844
 14  Kansas St                       7-2-0   71.6367
 15  Arkansas                        5-5-0   69.8335
 16  Tennessee                       5-5-0   69.0721
 17  Florida                         5-4-0   66.9008
 18  Nebraska                        8-2-0   66.5692
 19  UCLA                            8-2-0   66.4685
 20  Southern Cal                    7-3-0   66.1778
 21  West Virginia                   6-4-0   65.9088
 22  Florida St                      10-0-0  65.8266
 23  Texas A&M                       7-4-0   65.7454
 24  Georgia Tech                    9-2-0   64.6486
 25  Missouri                        8-2-0   64.5711
 26  Marshall                        10-0-0  64.3976
 27  Clemson                         7-3-0   63.4714
 28  Utah                            7-3-0   63.2857
 29  Miami FL                        6-4-0   63.2683
 30  Louisville                      7-3-0   62.7747
 31  Arizona                         8-2-0   62.6151
 32  Arizona St                      8-2-0   62.4589
 33  Notre Dame                      7-3-0   62.1176
 34  Duke                            8-2-0   61.2081
 35  South Carolina                  5-5-0   60.8149
 36  Stanford                        5-5-0   60.5526
 37  Minnesota                       7-3-0   60.4989
 38  Texas                           6-5-0   60.3653
 39  Memphis                         7-3-0   59.5218
 40  Louisiana Tech                  7-3-0   58.8208
 41  Virginia Tech                   5-5-0   58.2493
 42  Washington                      6-5-0   56.1389
 43  California                      5-5-0   55.8012
 44  Maryland                        6-4-0   55.4257
 45  Kentucky                        5-6-0   55.3621
 46  Boise St                        8-2-0   55.1754
 47  Penn State                      6-4-0   55.0025
 48  Iowa                            7-3-0   54.8967
 49  North Dakota St                 10-1-0  54.7583
 50  Boston College                  6-4-0   54.3416
 51  Virginia                        4-6-0   54.0364
 52  Colorado St                     9-1-0   53.9944
 53  Michigan                        5-5-0   53.3875
 54  Brigham Young                   6-4-0   52.9844
 55  Pittsburgh                      4-6-0   52.4337
 56  Northwestern                    4-6-0   52.2876
 57  Cincinnati                      6-3-0   52.1072
 58  East Carolina                   6-3-0   51.7824
 59  Oklahoma St                     5-5-0   51.5004
 60  Utah St                         8-3-0   51.3965
 61  Arkansas St                     6-4-0    50.866
 62  Washington St                   3-7-0   50.7983
 63  Northern Iowa                   7-4-0   50.5587
 64  Navy                            5-5-0    50.352
 65  Purdue                          3-7-0   50.2066
 66  Central Florida                 6-3-0   50.0809
 67  Nevada                          6-4-0    49.616
 68  Syracuse                        3-7-0   49.5064
 69  Georgia Southern                8-3-0   49.4605
 70  Houston                         5-4-0   49.4462
 71  Illinois St                     9-1-0   49.1074
 72  North Carolina                  5-5-0   48.8535
 73  Rutgers                         6-4-0   48.8321
 74  North Carolina St               6-5-0   48.7639
 75  Oregon St                       5-5-0   48.6826
 76  Temple                          5-5-0   48.5007
 77  Western Michigan                7-3-0   48.4495
 78  Iowa St                         2-7-0   46.3033
 79  Colorado                        2-8-0   46.2403
